iter	Passed	Remaining
152	335	1854
153	335	1845
154	336	1836
155	337	1827
156	338	1817
157	339	1809
158	340	1800
159	341	1792
160	341	1781
161	342	1773
162	343	1765
163	344	1757
164	345	1749
165	346	1741
166	347	1733
167	348	1724
168	349	1716
169	350	1709
170	350	1701
171	351	1693
172	352	1686
173	353	1679
174	354	1671
175	355	1664
176	356	1658
177	358	1653
178	359	1647
179	360	1640
180	361	1633
181	362	1627
182	362	1620
183	363	1613
184	364	1606
185	365	1600
186	366	1593
187	367	1587
188	368	1581
189	369	1575
190	370	1568
191	371	1562
192	372	1557
193	373	1551
194	374	1545
195	375	1539
196	376	1534
197	377	1528
198	378	1522
199	378	1515
200	379	1509
201	380	1503
202	381	1497
203	382	1491
204	383	1485
205	384	1480
206	385	1475
207	385	1469
208	387	1464
209	388	1459
210	388	1454
211	389	1448
212	390	1442
213	391	1437
214	392	1431
215	392	1426
216	393	1420
217	394	1415
218	395	1410
219	396	1405
220	397	1400
221	398	1395
222	399	1390
223	399	1385
224	400	1380
225	401	1375
226	402	1371
227	403	1366
228	404	1361
229	405	1357
230	406	1352
231	407	1347
232	408	1343
233	409	1339
234	409	1334
235	410	1329
236	411	1325
237	412	1321
238	413	1316
239	414	1312
240	415	1307
241	416	1303
242	417	1299
243	418	1295
244	418	1291
245	419	1286
246	420	1282
247	421	1278
248	422	1273
249	423	1270
250	424	1265
251	425	1261
252	425	1257
253	426	1253
254	427	1249
255	428	1244
256	429	1240
257	430	1237
258	430	1233
259	431	1229
260	432	1225
261	433	1221
262	434	1217
263	435	1214
264	436	1210
265	437	1207
266	438	1203
267	439	1199
268	440	1195
269	440	1192
270	441	1188
271	442	1184
272	443	1181
273	444	1177
274	445	1173
275	446	1170
276	446	1166
277	447	1163
278	448	1160
279	449	1156
280	450	1153
281	452	1151
282	453	1147
283	453	1144
284	454	1141
285	455	1137
286	456	1134
287	457	1130
288	458	1127
289	459	1123
290	459	1120
291	460	1117
292	461	1113
293	462	1110
294	463	1108
295	464	1105
296	465	1102
297	466	1099
298	467	1096
299	468	1092
300	469	1089
301	469	1086
302	470	1082
303	471	1079
304	472	1076
305	473	1073
306	474	1070
307	474	1067
308	475	1063
309	476	1060
310	477	1057
311	478	1054
312	479	1052
313	480	1049
314	481	1046
315	482	1044
316	483	1042
317	484	1039
318	485	1036
319	486	1034
320	487	1031
321	488	1028
322	489	1026
323	490	1023
324	491	1021
325	492	1018
326	493	1016
327	494	1013
328	495	1011
329	496	1008
330	497	1005
331	498	1003
332	499	1000
333	500	998
334	501	995
335	502	993
336	503	990
337	504	988
338	505	985
339	506	983
340	507	980
341	508	978
342	509	975
343	510	973
344	511	971
345	512	969
346	513	966
347	514	964
348	515	961
349	516	959
350	517	956
351	518	954
352	519	951
353	520	949
354	521	947
355	522	944
356	523	942
357	524	940
358	525	937
359	526	935
360	527	933
361	528	930
362	529	928
363	530	926
364	530	923
365	531	921
366	532	918
367	533	916
368	534	913
369	535	911
370	535	908
371	536	906
372	537	904
373	539	902
374	540	900
375	540	897
376	541	894
377	542	892
378	543	890
379	544	887
380	544	885
381	545	882
382	546	880
383	547	878
384	548	875
385	549	873
386	550	871
387	551	869
388	552	867
389	553	865
390	554	863
391	555	861
392	556	859
393	557	857
394	558	855
395	559	853
396	560	850
397	560	848
398	561	846
399	562	843
400	563	841
401	564	839
402	565	837
403	566	835
404	567	833
405	567	830
406	568	828
407	569	826
408	570	824
409	571	822
410	572	820
411	573	818
412	574	816
413	575	814
414	576	812
415	577	810
416	577	807
417	578	805
418	579	803
419	580	801
420	581	799
421	582	797
422	583	795
423	584	793
424	585	791
425	586	789
426	587	787
427	588	785
428	589	784
429	590	782
430	591	780
431	591	778
432	592	776
433	593	774
434	594	772
435	595	770
436	596	767
437	596	765
438	597	764
439	598	761
440	599	760
441	601	758
442	602	757
443	603	755
444	604	753
445	605	751
446	606	749
447	607	748
448	608	746
449	609	744
450	609	742
451	610	740
452	611	738
453	612	736
454	613	734
455	614	732
456	615	731
457	616	729
458	617	727
459	618	726
460	619	724
461	620	722
462	621	720
463	621	718
464	622	716
465	623	714
466	624	712
467	625	710
468	626	708
469	626	707
470	627	705
471	628	703
472	629	701
473	630	699
474	631	698
